"id","depo_org_id","drug_id","quantity","tarif","ppn","sub_total","tanggal"
52,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-06"
53,415,DRx0014992,10,373.0,0.0,3730.0,"2024-05-08"
54,415,DRx0014992,4,373.0,0.0,1492.0,"2024-05-07"
55,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-01"
56,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-02"
57,415,DRx0014992,9,373.0,0.0,3357.0,"2024-05-03"
58,415,DRx0014992,2,373.0,0.0,746.0,"2024-05-01"
59,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
60,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
61,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
62,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-06"
63,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-02"
64,70,DRx0014992,3,373.0,41.0,1119.0,"2024-05-01"
65,109,DRx0014992,30,414.0,41.0,12420.0,"2024-05-07"
66,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-04"
67,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-06"
68,70,DRx0014992,10,373.0,0.0,3730.0,"2024-05-08"
69,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-06"
70,109,DRx0014992,30,414.0,41.0,12420.0,"2024-05-06"
71,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-03"
72,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
73,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-03"
74,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-07"
75,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-03"
76,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
77,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-02"
78,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-06"
79,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-06"
80,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-03"
81,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-07"
82,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
83,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-03"
84,109,DRx0014992,30,414.0,0.0,12420.0,"2024-05-06"
85,415,DRx0014992,5,373.0,0.0,1865.0,"2024-05-01"
86,415,DRx0014992,4,373.0,0.0,1492.0,"2024-05-01"
87,415,DRx0014992,1,373.0,0.0,373.0,"2024-05-02"
88,415,DRx0014992,3,373.0,41.0,1119.0,"2024-05-02"
89,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-03"
90,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-03"
91,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
92,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
93,401,DRx0014992,15,373.0,0.0,5595.0,"2024-05-06"
94,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-02"
95,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-07"
96,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-06"
97,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-03"
98,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-03"
99,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-06"
100,70,DRx0014992,1,373.0,0.0,373.0,"2024-05-01"
101,70,DRx0014992,1,373.0,0.0,373.0,"2024-05-01"
102,70,DRx0014992,5,373.0,41.0,1865.0,"2024-05-01"
103,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-07"
104,109,DRx0014992,30,414.0,41.0,12420.0,"2024-05-06"
105,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-03"
106,1,DRx0014992,15,373.0,0.0,5595.0,"2024-05-02"
107,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-06"
108,70,DRx0014992,15,373.0,0.0,5595.0,"2024-05-07"
109,415,DRx0014992,6,373.0,0.0,2238.0,"2024-05-03"
110,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
111,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-06"
112,70,DRx0014992,12,373.0,0.0,4476.0,"2024-05-07"
113,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
114,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-06"
115,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-03"
116,70,DRx0014992,11,373.0,0.0,4103.0,"2024-05-03"
117,70,DRx0014992,21,373.0,410.0,7833.0,"2024-05-03"
118,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
119,109,DRx0014992,14,414.0,41.0,5796.0,"2024-05-03"
120,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-03"
121,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-07"
122,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-02"
123,415,DRx0014992,6,373.0,0.0,2238.0,"2024-05-03"
124,415,DRx0014992,2,373.0,41.0,746.0,"2024-05-03"
125,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-02"
126,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
127,109,DRx0014992,20,414.0,410.0,8280.0,"2024-05-08"
128,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-02"
129,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-02"
130,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-06"
131,415,DRx0014992,4,373.0,0.0,1492.0,"2024-05-07"
132,415,DRx0014992,3,373.0,41.0,1119.0,"2024-05-08"
133,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-06"
134,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-01"
135,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-03"
136,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-01"
137,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-02"
138,70,DRx0014992,1,373.0,41.0,373.0,"2024-05-02"
139,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-04"
140,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-07"
141,109,DRx0014992,6,414.0,0.0,2484.0,"2024-05-08"
142,415,DRx0014992,15,373.0,41.0,5595.0,"2024-05-01"
143,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-04"
144,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-02"
145,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
146,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-02"
147,109,DRx0014992,6,414.0,410.0,2484.0,"2024-05-03"
148,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
149,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
150,109,DRx0014992,8,414.0,0.0,3312.0,"2024-05-04"
151,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-04"
152,70,DRx0014992,5,373.0,0.0,1865.0,"2024-05-08"
153,415,DRx0014992,10,373.0,41.0,3730.0,"2024-05-06"
154,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
155,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-06"
156,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-06"
157,109,DRx0014992,42,414.0,0.0,17389.0,"2024-05-02"
158,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-03"
159,415,DRx0014992,5,373.0,0.0,1865.0,"2024-05-01"
160,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
161,415,DRx0014992,3,373.0,41.0,1119.0,"2024-05-01"
162,109,DRx0014992,45,414.0,41.0,18631.0,"2024-05-06"
163,109,DRx0014992,14,414.0,0.0,5796.0,"2024-05-06"
164,415,DRx0014992,21,373.0,0.0,7833.0,"2024-05-02"
165,415,DRx0014992,1,373.0,41.0,373.0,"2024-05-01"
166,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-04"
167,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-03"
168,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-07"
169,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
170,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
171,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-02"
172,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-07"
173,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-08"
174,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
175,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
176,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
177,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-06"
178,70,DRx0014992,15,373.0,0.0,5595.0,"2024-05-04"
179,70,DRx0014992,6,373.0,0.0,2238.0,"2024-05-05"
180,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
181,70,DRx0014992,7,373.0,0.0,2611.0,"2024-05-06"
182,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-01"
183,70,DRx0014992,20,373.0,0.0,7460.0,"2024-05-03"
184,415,DRx0014992,21,373.0,0.0,7833.0,"2024-05-02"
185,415,DRx0014992,1,373.0,41.0,373.0,"2024-05-01"
186,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-06"
187,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-07"
188,415,DRx0014992,6,373.0,41.0,2238.0,"2024-05-08"
189,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-03"
190,70,DRx0014992,9,373.0,0.0,3357.0,"2024-05-01"
191,70,DRx0014992,20,373.0,0.0,7460.0,"2024-05-05"
192,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
193,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
194,70,DRx0014992,3,373.0,41.0,1119.0,"2024-05-02"
195,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
196,70,DRx0014992,6,373.0,41.0,2238.0,"2024-05-01"
197,109,DRx0014992,20,414.0,41.0,8280.0,"2024-05-07"
198,109,DRx0014992,8,414.0,0.0,3312.0,"2024-05-06"
199,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-08"
200,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-06"
201,70,DRx0014992,15,373.0,0.0,5595.0,"2024-05-07"
202,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
203,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-02"
204,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-01"
205,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-04"
206,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
207,415,DRx0014992,5,373.0,0.0,1865.0,"2024-05-03"
208,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
209,415,DRx0014992,6,373.0,0.0,2238.0,"2024-05-05"
210,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
211,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-01"
212,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-01"
213,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-01"
214,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-01"
215,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-02"
216,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
217,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-03"
218,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
219,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-05"
220,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-06"
221,70,DRx0014992,3,373.0,41.0,1119.0,"2024-05-07"
222,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
223,109,DRx0014992,10,414.0,41.0,4140.0,"2024-05-02"
224,109,DRx0014992,15,414.0,41.0,6210.0,"2024-05-02"
225,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-02"
226,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-02"
227,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-03"
228,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-03"
229,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-03"
230,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-03"
231,415,DRx0014992,6,373.0,0.0,2238.0,"2024-05-04"
232,415,DRx0014992,15,373.0,0.0,5595.0,"2024-05-07"
233,415,DRx0014992,2,373.0,0.0,746.0,"2024-05-06"
234,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-04"
235,70,DRx0014992,10,373.0,0.0,3730.0,"2024-05-07"
236,1,DRx0014992,10,373.0,41.0,3730.0,"2024-05-04"
237,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-04"
238,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-04"
239,1,DRx0014992,15,373.0,0.0,5595.0,"2024-05-05"
240,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-05"
241,1,DRx0014992,15,373.0,0.0,5595.0,"2024-05-05"
242,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-06"
243,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-06"
244,415,DRx0014992,6,373.0,0.0,2238.0,"2024-05-07"
245,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-08"
246,415,DRx0014992,4,373.0,0.0,1492.0,"2024-05-07"
247,415,DRx0014992,3,373.0,0.0,1119.0,"2024-05-07"
248,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-06"
249,70,DRx0014992,2,373.0,0.0,746.0,"2024-05-08"
250,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-08"
251,70,DRx0014992,4,373.0,0.0,1492.0,"2024-05-08"
252,1,DRx0014992,10,373.0,0.0,3730.0,"2024-05-07"
253,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-08"
254,70,DRx0014992,3,373.0,0.0,1119.0,"2024-05-08"
255,1,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-23"
256,1,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-27"
257,1,DRx0014697,2,2068.0,0.0,4136.0,"2024-03-30"
258,415,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-04"
259,415,DRx0014697,2,2068.0,0.0,4136.0,"2024-03-30"
260,415,DRx0014992,3,373.0,0.0,1119.0,"2024-04-04"
261,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-31"
262,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-01"
263,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-02"
264,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-30"
265,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-03"
266,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-20"
267,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-20"
268,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-20"
269,415,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-13"
270,415,DRx0014697,2,2068.0,41.0,4136.0,"2024-04-16"
271,109,DRx0014992,20,414.0,0.0,8280.0,"2024-04-30"
272,218,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-03"
273,415,DRx0014697,1,2068.0,41.0,2068.0,"2024-04-04"
274,109,DRx0014992,20,414.0,0.0,8280.0,"2024-05-13"
275,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-09"
276,218,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-08"
277,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-13"
278,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-12"
279,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-14"
280,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-10"
281,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-11"
282,1,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-22"
283,1,DRx0014697,1,2068.0,51.0,2068.0,"2024-05-08"
284,109,DRx0014992,40,517.0,0.0,20690.0,"2024-01-08"
285,218,DRx0014697,1,2068.0,51.0,2068.0,"2024-03-24"
286,109,DRx0014992,8,517.0,51.0,4138.0,"2024-01-13"
287,109,DRx0014992,8,517.0,51.0,4138.0,"2024-02-17"
288,109,DRx0014992,8,517.0,41.0,4138.0,"2024-03-16"
289,109,DRx0014992,8,414.0,0.0,3312.0,"2024-04-20"
290,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-16"
291,218,DRx0014697,2,2585.0,41.0,5170.0,"2024-03-16"
292,109,DRx0014992,8,414.0,0.0,3312.0,"2024-04-27"
293,109,DRx0014992,8,414.0,0.0,3312.0,"2024-04-27"
294,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-15"
295,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-15"
296,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-16"
297,170,DRx0014697,2,2585.0,0.0,5170.0,"2024-01-05"
298,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-05"
299,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-06"
300,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-04"
301,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-03"
302,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-01"
303,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-30"
304,218,DRx0014697,2,2585.0,0.0,5170.0,"2024-01-31"
305,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-31"
306,1,DRx0014992,10,373.0,51.0,3730.0,"2024-04-26"
307,109,DRx0014992,10,517.0,41.0,5172.0,"2024-02-26"
308,109,DRx0014992,10,414.0,41.0,4140.0,"2024-04-01"
309,109,DRx0014992,10,414.0,41.0,4140.0,"2024-04-16"
310,109,DRx0014992,10,414.0,0.0,4140.0,"2024-05-06"
311,218,DRx0014697,1,2068.0,0.0,2068.0,"2024-05-09"
312,70,DRx0014697,1,2068.0,0.0,2068.0,"2024-05-08"
313,218,DRx0014697,1,2068.0,0.0,2068.0,"2024-05-08"
314,1,DRx0014992,10,373.0,0.0,3730.0,"2024-04-23"
315,218,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-10"
316,1,DRx0014992,15,373.0,0.0,5595.0,"2024-04-12"
317,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-28"
318,415,DRx0014697,2,2068.0,0.0,4136.0,"2024-03-28"
319,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-01"
320,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-02"
321,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-30"
322,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-03-29"
323,70,DRx0014697,2,2585.0,51.0,5170.0,"2024-03-04"
324,109,DRx0014992,10,517.0,51.0,5172.0,"2024-02-12"
325,109,DRx0014992,15,517.0,41.0,7758.0,"2024-02-29"
326,109,DRx0014992,15,414.0,41.0,6210.0,"2024-04-04"
327,109,DRx0014992,15,414.0,0.0,6210.0,"2024-05-13"
328,70,DRx0014697,2,2585.0,51.0,5170.0,"2024-02-10"
329,109,DRx0014992,15,517.0,0.0,7758.0,"2024-02-22"
330,70,DRx0014697,3,2068.0,0.0,6204.0,"2024-03-24"
331,218,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-24"
332,401,DRx0014992,7,373.0,0.0,2611.0,"2024-03-22"
333,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-06"
334,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-06"
335,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-06"
336,415,DRx0014697,2,2585.0,0.0,5170.0,"2024-03-09"
337,401,DRx0014992,14,466.0,0.0,6524.0,"2024-02-07"
338,1,DRx0014697,2,2585.0,0.0,5170.0,"2024-01-21"
339,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-24"
340,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-27"
341,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-25"
342,70,DRx0014697,1,2585.0,51.0,2585.0,"2024-01-26"
343,109,DRx0014992,10,517.0,41.0,5172.0,"2024-01-05"
344,109,DRx0014992,20,414.0,0.0,8280.0,"2024-04-19"
345,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-28"
346,415,DRx0014992,5,466.0,0.0,2330.0,"2024-02-28"
347,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-28"
348,415,DRx0014992,3,466.0,0.0,1398.0,"2024-02-29"
349,70,DRx0014992,2,466.0,0.0,932.0,"2024-03-01"
350,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-29"
351,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-01"
352,70,DRx0014697,1,2068.0,0.0,2068.0,"2024-05-06"
353,1,DRx0014992,10,373.0,0.0,3730.0,"2024-04-15"
354,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-24"
355,70,DRx0014697,1,2585.0,51.0,2585.0,"2024-03-04"
356,109,DRx0014992,7,517.0,51.0,3620.0,"2024-01-24"
357,109,DRx0014992,7,517.0,0.0,3620.0,"2024-02-03"
358,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-02"
359,218,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-02"
360,401,DRx0014992,10,466.0,41.0,4660.0,"2024-03-06"
361,109,DRx0014992,6,414.0,0.0,2484.0,"2024-04-06"
362,218,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-25"
363,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-11"
364,415,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-10"
365,415,DRx0014697,1,2585.0,51.0,2585.0,"2024-01-12"
366,109,DRx0014992,5,517.0,0.0,2586.0,"2024-02-24"
367,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-03"
368,70,DRx0014992,9,466.0,0.0,4194.0,"2024-03-13"
369,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-03"
370,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-04"
371,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-08"
372,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-05"
373,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-07"
374,70,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-06"
375,1,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-18"
376,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-26"
377,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-26"
378,415,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-29"
379,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-27"
380,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-01-12"
381,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-07"
382,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-02-07"
383,1,DRx0014697,1,2585.0,0.0,2585.0,"2024-03-06"
384,70,DRx0014697,1,2585.0,51.0,2585.0,"2024-01-21"
385,109,DRx0014992,20,517.0,51.0,10345.0,"2024-02-05"
386,109,DRx0014992,20,517.0,0.0,10345.0,"2024-03-04"
387,401,DRx0014992,10,373.0,0.0,3730.0,"2024-04-05"
388,218,DRx0014697,2,2068.0,0.0,4136.0,"2024-04-23"
389,401,DRx0014992,10,373.0,0.0,3730.0,"2024-04-21"
390,415,DRx0014992,4,373.0,0.0,1492.0,"2024-04-21"
391,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-17"
392,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-17"
393,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-20"
394,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-17"
395,415,DRx0014697,1,2068.0,0.0,2068.0,"2024-04-18"
